tweet_rate,total_amount,tweet_amount,top_conv
avigneswaren,1,low,Low tweet rate
avigneswaren,1,low,Low tweet rate
ZaahiraZaa_Bee,1,low,Low tweet rate
schumble,1,low,Low tweet rate
schumble,1,low,Low tweet rate
schumble,1,low,Low tweet rate
jessicabateman,1,low,Low tweet rate
jessicabateman,1,low,Low tweet rate
jessicabateman,1,low,Low tweet rate
jessicabateman,1,low,Low tweet rate
jessicabateman,1,low,Low tweet rate
jessicabateman,1,low,Low tweet rate
jessicabateman,1,low,Low tweet rate
katlay,1,low,Low tweet rate
thelukebjj,1,low,Low tweet rate
thelukebjj,1,low,Low tweet rate
thelukebjj,1,low,Low tweet rate
rosielucocq,1,low,Low tweet rate
vicky_brewster,1,low,Low tweet rate
vicky_brewster,1,low,Low tweet rate
vicky_brewster,1,low,Low tweet rate
vicky_brewster,1,low,Low tweet rate
vicky_brewster,1,low,Low tweet rate
sarahwishart,1,low,Low tweet rate
MsJenniferH,1,low,Low tweet rate
WeAreEQUALS,1,low,Low tweet rate
WeAreEQUALS,1,low,Low tweet rate
WeAreEQUALS,1,low,Low tweet rate
WeAreEQUALS,1,low,Low tweet rate
WeAreEQUALS,1,low,Low tweet rate
WeAreEQUALS,1,low,Low tweet rate
WeAreEQUALS,1,low,Low tweet rate
living_as_if,1,low,Low tweet rate
living_as_if,1,low,Low tweet rate
living_as_if,1,low,Low tweet rate
living_as_if,1,low,Low tweet rate
living_as_if,1,low,Low tweet rate
living_as_if,1,low,Low tweet rate
pseudodeviant,1,low,Low tweet rate
pseudodeviant,1,low,Low tweet rate
pseudodeviant,1,low,Low tweet rate
pseudodeviant,1,low,Low tweet rate
pseudodeviant,1,low,Low tweet rate
pseudodeviant,1,low,Low tweet rate
jojokirtley,1,low,Low tweet rate
KBadlan,1,low,Low tweet rate
KBadlan,1,low,Low tweet rate
KBadlan,1,low,Low tweet rate
MsCJD,1,low,Low tweet rate
MsCJD,1,low,Low tweet rate
MsCJD,1,low,Low tweet rate
MsCJD,1,low,Low tweet rate
MsCJD,1,low,Low tweet rate
MsCJD,1,low,Low tweet rate
MsCJD,1,low,Low tweet rate
MsCJD,1,low,Low tweet rate
MsCJD,1,low,Low tweet rate
MsCJD,1,low,Low tweet rate
MsCJD,1,low,Low tweet rate
SqueamishBikini,1,low,Low tweet rate
SqueamishBikini,1,low,Low tweet rate
SqueamishBikini,1,low,Low tweet rate
SqueamishBikini,1,low,Low tweet rate
ed1900and86,1,low,Low tweet rate
thefworduk,1,low,Low tweet rate
thefworduk,1,low,Low tweet rate
thefworduk,1,low,Low tweet rate
thefworduk,1,low,Low tweet rate
thefworduk,1,low,Low tweet rate
thefworduk,1,low,Low tweet rate
thefworduk,1,low,Low tweet rate
thefworduk,1,low,Low tweet rate
thefworduk,1,low,Low tweet rate
thefworduk,1,low,Low tweet rate
thefworduk,1,low,Low tweet rate
thefworduk,1,low,Low tweet rate
thefworduk,1,low,Low tweet rate
thefworduk,1,low,Low tweet rate
thefworduk,1,low,Low tweet rate
thefworduk,1,low,Low tweet rate
thefworduk,1,low,Low tweet rate
thefworduk,1,low,Low tweet rate
incurablehippie,1,low,Low tweet rate
incurablehippie,1,low,Low tweet rate
incurablehippie,1,low,Low tweet rate
incurablehippie,1,low,Low tweet rate
incurablehippie,1,low,Low tweet rate
incurablehippie,1,low,Low tweet rate
incurablehippie,1,low,Low tweet rate
incurablehippie,1,low,Low tweet rate
incurablehippie,1,low,Low tweet rate
incurablehippie,1,low,Low tweet rate
incurablehippie,1,low,Low tweet rate
incurablehippie,1,low,Low tweet rate
incurablehippie,1,low,Low tweet rate
incurablehippie,1,low,Low tweet rate
incurablehippie,1,low,Low tweet rate
incurablehippie,1,low,Low tweet rate
Brill_Brum,1,low,Low tweet rate
Briesias,1,low,Low tweet rate
milliemoof,1,low,Low tweet rate
Coifsh,1,low,Low tweet rate
Coifsh,1,low,Low tweet rate
Coifsh,1,low,Low tweet rate
abalanophage,1,low,Low tweet rate
abalanophage,1,low,Low tweet rate
abalanophage,1,low,Low tweet rate
ThePosieParker,1,low,Low tweet rate
ThePosieParker,1,low,Low tweet rate
EmiliaDG,1,low,Low tweet rate
Tillythepink,1,low,Low tweet rate
Tillythepink,1,low,Low tweet rate
btcwarwick,1,low,Low tweet rate
fionalaird,1,low,Low tweet rate
fionalaird,1,low,Low tweet rate
fionalaird,1,low,Low tweet rate
fionalaird,1,low,Low tweet rate
fionalaird,1,low,Low tweet rate
bigladUK999,1,low,Low tweet rate
bigladUK999,1,low,Low tweet rate
WelshWomensAid,1,low,Low tweet rate
WelshWomensAid,1,low,Low tweet rate
WelshWomensAid,1,low,Low tweet rate
sazza_jay,1,low,Low tweet rate
sazza_jay,1,low,Low tweet rate
sazza_jay,1,low,Low tweet rate
sazza_jay,1,low,Low tweet rate
sazza_jay,1,low,Low tweet rate
ucasu_frost,1,low,Low tweet rate
RedNaylor,1,low,Low tweet rate
RedNaylor,1,low,Low tweet rate
RedNaylor,1,low,Low tweet rate
RedNaylor,1,low,Low tweet rate
Hollysmither,1,low,Low tweet rate
Hollysmither,1,low,Low tweet rate
Hollysmither,1,low,Low tweet rate
Hollysmither,1,low,Low tweet rate
Hollysmither,1,low,Low tweet rate
Hollysmither,1,low,Low tweet rate
GrahamSmyth,1,low,Low tweet rate
tjchitt86,1,low,Low tweet rate
iscarbro,1,low,Low tweet rate
CraigSWFC,1,low,Low tweet rate
CraigSWFC,1,low,Low tweet rate
CraigSWFC,1,low,Low tweet rate
CraigSWFC,1,low,Low tweet rate
CraigSWFC,1,low,Low tweet rate
CraigSWFC,1,low,Low tweet rate
NicolaMegson,1,low,Low tweet rate
NicolaMegson,1,low,Low tweet rate
SheffGinge,1,low,Low tweet rate
SheffGinge,1,low,Low tweet rate
SheffGinge,1,low,Low tweet rate
chinawillis,1,low,Low tweet rate
SteeryBlade,1,low,Low tweet rate
SteeryBlade,1,low,Low tweet rate
SteeryBlade,1,low,Low tweet rate
SteeryBlade,1,low,Low tweet rate
SteeryBlade,1,low,Low tweet rate
SteeryBlade,1,low,Low tweet rate
emdawgb,1,low,Low tweet rate
emdawgb,1,low,Low tweet rate
emdawgb,1,low,Low tweet rate
EbonyDawnMarsh,1,low,Low tweet rate
EbonyDawnMarsh,1,low,Low tweet rate
EbonyDawnMarsh,1,low,Low tweet rate
EbonyDawnMarsh,1,low,Low tweet rate
20Rukia10,1,low,Low tweet rate
20Rukia10,1,low,Low tweet rate
epenno,1,low,Low tweet rate
trabasack,1,low,Low tweet rate
trabasack,1,low,Low tweet rate
trabasack,1,low,Low tweet rate
trabasack,1,low,Low tweet rate
trabasack,1,low,Low tweet rate
trabasack,1,low,Low tweet rate
trabasack,1,low,Low tweet rate
trabasack,1,low,Low tweet rate
trabasack,1,low,Low tweet rate
trabasack,1,low,Low tweet rate
trabasack,1,low,Low tweet rate
trabasack,1,low,Low tweet rate
trabasack,1,low,Low tweet rate
Iangreen2105,1,low,Low tweet rate
Bladesbabe5,1,low,Low tweet rate
Bladesbabe5,1,low,Low tweet rate
Bladesbabe5,1,low,Low tweet rate
Bladesbabe5,1,low,Low tweet rate
